TIME,GEO,NACE_R2,Emissions
2008,Netherlands,"Electricity, gas, steam and air conditioning supply",50040685.27
2008,Netherlands,"Water supply; sewerage, waste management and remediation activities",7867942.18
2008,Netherlands,Construction,3614823.6
2008,Netherlands,Wholesale and retail trade; repair of motor vehicles and motorcycles,4718921.62
2008,Netherlands,Transportation and storage,26369133.66
2008,Netherlands,Accommodation and food service activities,992903.49
2008,Netherlands,Information and communication,271051.3
2008,Netherlands,Financial and insurance activities,613559.66
2008,Netherlands,Real estate activities,583156.5
2008,Netherlands,"Professional, scientific and technical activities",904812.25
2008,Netherlands,Administrative and support service activities,2491678.11
2008,Netherlands,Public administration and defence; compulsory social security,1682977.64
2008,Netherlands,Education,712247.02
2008,Netherlands,Human health and social work activities,1433252.74
2008,Netherlands,"Arts, entertainment and recreation",509381.42
2008,Netherlands,Other service activities,584923.8
2008,Netherlands,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Netherlands,Activities of extraterritorial organisations and bodies,0.0
2008,Austria,Total - all NACE activities,68189969.66
2008,Austria,"Agriculture, forestry and fishing",8992334.86
2008,Austria,Mining and quarrying,1068309.96
2008,Austria,Manufacturing,29078297.02
2008,Austria,"Electricity, gas, steam and air conditioning supply",10972982.35
2008,Austria,"Water supply; sewerage, waste management and remediation activities",2969057.89
2008,Austria,Construction,3035624.85
2008,Austria,Wholesale and retail trade; repair of motor vehicles and motorcycles,1923042.61
2008,Austria,Transportation and storage,6677918.58
2008,Austria,Accommodation and food service activities,737165.52
2008,Austria,Information and communication,178692.68
2008,Austria,Financial and insurance activities,113718.71
2008,Austria,Real estate activities,58920.02
2008,Austria,"Professional, scientific and technical activities",250929.11
2008,Austria,Administrative and support service activities,284051.0
2008,Austria,Public administration and defence; compulsory social security,266317.41
2008,Austria,Education,737816.0
2008,Austria,Human health and social work activities,295925.61
2008,Austria,"Arts, entertainment and recreation",223251.71
2008,Austria,Other service activities,325613.78
2008,Austria,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Austria,Activities of extraterritorial organisations and bodies,0.0
2008,Poland,Total - all NACE activities,370368405.78
2008,Poland,"Agriculture, forestry and fishing",46704615.36
2008,Poland,Mining and quarrying,21987188.81
2008,Poland,Manufacturing,70059742.79
2008,Poland,"Electricity, gas, steam and air conditioning supply",163061340.24
2008,Poland,"Water supply; sewerage, waste management and remediation activities",16397178.34
2008,Poland,Construction,1206642.76
2008,Poland,Wholesale and retail trade; repair of motor vehicles and motorcycles,13580522.03
2008,Poland,Transportation and storage,23423288.63
2008,Poland,Accommodation and food service activities,607200.18
2008,Poland,Information and communication,578635.26
2008,Poland,Financial and insurance activities,3445001.81
2008,Poland,Real estate activities,739424.19
2008,Poland,"Professional, scientific and technical activities",1124026.49
2008,Poland,Administrative and support service activities,1101188.72
2008,Poland,Public administration and defence; compulsory social security,2581929.6
2008,Poland,Education,1603950.12
2008,Poland,Human health and social work activities,1345721.63
2008,Poland,"Arts, entertainment and recreation",263916.45
2008,Poland,Other service activities,556892.35
2008,Poland,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Poland,Activities of extraterritorial organisations and bodies,0.0
2008,Portugal,Total - all NACE activities,67434126.2
2008,Portugal,"Agriculture, forestry and fishing",8879891.2
2008,Portugal,Mining and quarrying,383740.6
2008,Portugal,Manufacturing,19400667.5
